x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,65-132-213,x,x,x,x,x,x,x,x,65-132-213,x
x,x,65-132-213,x,x,x,x,x,x,65-132-213,x,x
x,x,x,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,x,x,x
x,x,x,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,x,x,x
x,x,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,x,x
x,x,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,x,x
x,x,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,65-132-213,x,x
x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
